ディープラーニングにおいて、層が深くなると勾配が消失しやすくなる現象を何と呼ぶでしょうか？,勾配消失,勾配発散,学習停滞,過学習,ディープラーニングにおいて、層が深くなると勾配が消失しやすくなる現象は「勾配消失問題」と呼ばれます。
シグモイド関数の微分の最大値が0.25であることが、ディープラーニングにおける学習の難しさの原因とされます。この微分の最大値が0.25であることはどのような問題を引き起こすでしょうか？,勾配消失,学習停滞,局所最適解,過学習,シグモイド関数の微分の最大値が0.25であるため、層が深くなると勾配が急速に小さくなり、勾配消失問題が生じやすくなります。
活性化関数として最初に脚光を浴びたのは次のうちどれですか？,tanh関数,ReLU関数,シグモイド関数,Softmax関数,活性化関数として最初に注目されたのはtanh（ハイパボリックタンジェント）関数です。
ReLU関数を微分した場合、xが0より大きい限り微分値は常に何になりますか？,1,0,-1,0.5,ReLU関数を微分すると、xが0より大きい限り微分値は常に最大値である1となります。
Leaky ReLU関数は、ReLU関数と比較してどのような特徴を持っていますか？,xが0より小さい場合も微小な傾きを持つ,xが0より大きい場合は微分値が0,微分値が常に1,xが0より小さい場合は微分値が1,Leaky ReLU関数は、ReLU関数と異なりxが0より小さい場合でも微小な傾きを持ちます。
活性化関数の選択において、出力層ではなんらかの理由からシグモイド関数やソフトマックス関数を使用する必要があります。これは何故でしょうか？,出力を確率で表すため,学習速度の向上,過学習の防止,正則化のため,出力層ではシグモイド関数やソフトマックス関数を使用する必要があり、これは出力を確率で表すためです。
ReLU関数はどのような形の数学的な式で表されますか？,y = max(0,x),y = log(x),y = e^x,y = 1 / (1 + e^(-x)),ReLU関数は数学的な式でy = max(0,x)と表されます。
ディープラーニングにおいて、ReLU関数が活性化関数として広く使われる理由は何でしょうか？,勾配消失問題に対する頑健性,最小二乗法の適用性,数学的な複雑さの低さ,過学習の防止,ReLU関数は勾配消失問題に対して頑健であるため、ディープラーニングで広く使用されています。
活性化関数の進化において、Leaky ReLU関数が導入された主な目的は何でしょうか？,勾配消失の改善,学習速度の向上,ReLU関数の置き換え,正則化の導入,Leaky ReLU関数が導入された主な目的は、ReLU関数の勾配消失問題の改善です。
Leaky ReLU関数の改良版として、x<0の部分の直線の傾きを学習によって最適化しようとする関数は何でしょうか？,Parametric ReLU,Randomized ReLU,Sigmoid ReLU,Exponential ReLU,Leaky ReLUの改良版として、x<0の部分の直線の傾きを学習によって最適化しようとする関数はParametric ReLUです。
ニューラルネットワークにおいて、誤差を最小化するために用いられる数学的なアプローチは何でしょうか？,微積分,行列計算,確率論,統計学,ニューラルネットワークでは、誤差を最小化するために微積分が使用されます。
勾配降下法において、学習率（α）の役割は何でしょうか？,勾配に沿って一度に値を更新する幅を調整する,モデルのパラメータ数を調整する,誤差関数の微分を計算する,学習の収束を確認する,学習率（α）は、勾配降下法において一度にどれだけ値を更新するかを調整するハイパーパラメータです。
勾配降下法において、局所最適解とは何でしょうか？,見かけ上の最適解,誤差関数を最小化する解,全体の最適解,隣接点と比べて最小な解,勾配降下法では、見かけ上最小の解である局所最適解に陥る可能性があります。
鞍点とは何でしょうか？,多次元空間において一部の次元で極小であり他の次元で極大である点,関数の極小値,関数の極大値,関数の最適解,鞍点は、多次元空間において一部の次元で極小であり他の次元で極大である点を指します。
モーメンタムはどのような最適化手法の考え方を取り入れたものですか？,慣性の考え方,確率論,行列計算,統計学,モーメンタムは、慣性の考え方を取り入れ、最適化の進行方向に学習を加速させる手法です。
局所最適解を防ぐためのアプローチとして、何を調整することが提案されていますか？,学習率,誤差関数の形状,モデルのパラメータ数,初期値,学習率を調整することで、局所最適解を防ぐアプローチが提案されています。
RMSpropとAdamはどの最適化手法の改良版ですか？,Adabrad,勾配降下法,モーメンタム,確率論,RMSpropとAdamは、モーメンタムの仕組みをベースにしたAdabradの改良版です。
ディープラーニングにおいて鞍点の問題が発生しやすい理由は何ですか？,次元が多いため,学習率が小さいため,モデルの複雑さが低いため,初期値の選択が難しいため,ディープラーニングでは、扱うパラメータ数が多いため、鞍点が発生しやすいです。
局所最適解と鞍点の問題を回避するために、どのような手法が提案されていますか？,モーメンタム,確率論,モデルのパラメータ数を増やす,学習率の調整,モーメンタムは、局所最適解と鞍点の問題を回避するための手法です。
ニューラルネットワークの学習に時間がかかる理由は何ですか？,最適解が見つかるまでひたすら探索を行うため,モデルのパラメータ数が少ないため,学習率が大きいため,初期値の選択が難しいため,ニューラルネットワークの学習に時間がかかる理由は、最適解が見つかるまでひたすら探索を行っているからです。
深層学習において、オーバーフィッティングを避けるために利用される手法は（　）である。,ドロップアウト,活性化関数,勾配消失,バッチ正規化,オーバーフィッティングを回避するための手法として、ランダムにニューロンをドロップアウトさせるドロップアウトが使われます。
学習途中で、テストデータに対する誤差が大きくなり始めた場合に学習を停止する手法は（　）である。,Early stopping,バッチ正規化,データの正規化,シグモイド関数,テストデータに対する誤差が増加し始めたら学習をストップする手法がEarly stoppingです。
