人工知能の定義について、「人間の頭脳活動を極限までシミュレートするシステム」と定義したのは誰ですか？,⻑尾真,松尾豊,西田豊明,中島秀之,長尾真（京都大学名誉教授）です。
人工知能の大まかな分類で、機械学習を取り入れた人工知能は何レベルですか？,レベル1,レベル2,レベル3,レベル4,機械学習を取り入れた人工知能はレベル3です。
ロボットの脳にあたる部分を研究するのは人工知能研究ですが、ロボットの体にあたる部分を研究するのは何研究ですか？,ロボット工学,第五世代コンピュータ,オートメーション,エキスパートシステム,ロボットの体にあたる部分を研究するのはロボット工学です。
世界初の人工知能プログラムはアレン・ニューウェルとハーバード・サイモンによって開発されたもので、何と呼ばれていますか？,ロジック・セオリスト,ディープラーニング,エキスパートシステム,第五世代コンピュータ,世界初の人工知能プログラムは「ロジック・セオリスト」です。
第2次AIブームの時代に注目されたアプローチで、データベースに大量の専門知識をため込んだシステムは何ですか？,エキスパートシステム,機械学習,推論/探索,知識の蓄積,第2次AIブームの時代に注目されたアプローチは「エキスパートシステム」です。
第3次AIブームの時代に登場した技術で、人工知能が自ら知識を獲得する一形態は何ですか？,ディープラーニング,ロジック・セオリスト,エキスパートシステム,第五世代コンピュータ,第3次AIブームの時代に注目された技術は「ディープラーニング」です。
シンギュラリティーに対する懸念が広まった第3次AIブームの時代に、レイ・カールワイルが主に懸念を表明したのは何に関連していますか？,技術的特異点,人間と機械の共存,データセキュリティ,知識の蓄積,レイ・カールワイルはシンギュラリティー（技術的特異点）に対する懸念を表明しました。
現在も重要な研究として継続されているAIの分野は主に何ですか？,機械学習,推論/探索,ロボット工学,知識の蓄積,現在も重要な研究として継続されているAIの分野は「機械学習」です。
人工知能の大まかな分類で、シンプルな制御プログラムに分類されるものは何レベルですか？,レベル1,レベル2,レベル3,レベル4,シンプルな制御プログラムはレベル1に分類されます。
人工知能において、特徴量と呼ばれる変数を自動的に学習する製品は何レベルに分類されますか？,レベル4,レベル1,レベル2,レベル3,特徴量を自動的に学習する製品はレベル4に分類されます。
人工知能の分野で、画像認識や音声認識に該当するものはどれですか？,レベル4,レベル1,レベル2,レベル3,画像認識や音声認識はレベル4の人工知能の分野に該当します。
人工知能の研究分野で「推論」や「探索」の研究が進み、1950年代後半から1960年代にかけてブームになった時期は何次AIブームと呼ばれていますか？,第1次AIブーム,第2次AIブーム,第3次AIブーム,第4次AIブーム,「推論」や「探索」の研究が進み、1950年代後半から1960年代にかけてのブームは第1次AIブームと呼ばれています。
人工知能の分野で、交通情報の予測や検索エンジンに該当するものは何レベルですか？,レベル3,レベル1,レベル2,レベル4,交通情報の予測や検索エンジンはレベル3の人工知能の分野に該当します。
人工知能研究の歴史において、アメリカのペンシルバニア大学で開発された真空管を使った世界初の汎用電子式コンピュータは何と呼ばれていますか？,エニアック(ENIAC),エディソン(Edison),エンジン(Engine),エンツォ(Enzo),アメリカのペンシルバニア大学で開発された真空管を使った世界初の汎用電子式コンピュータは「エニアック(ENIAC)」です。
ダートマス会議の主催者は誰ですか？,ジョン・マッカーシー,マーヴィン・ミンスキー,アレン・ニューウェル,ハーバード・サイモン,⼈⼯知能という言葉が初めて使われたダートマス会議の主催者は「ジョン・マッカーシー」でした。
第1次AIブームは何年代に起こったものですか？,1950年代〜,1960年代〜,1970年代〜,1980年代～,第1次AIブームは「1950年代後半〜1960年代」に起こりました。
