ブロードキャストドメインを分割する装置はどれか？,ルーター,ブリッジ,ハブ,マングース
ハブの正しい特徴はどれか？,受信ポート以外の全ポートからデータを送信する,IPアドレスを見て出力ポートを決める,MACアドレスを見て出力ポートを決める,IPアドレスとACLを見て出力ポートを決める
MMFと比較した場合のSMFの特徴はどれか？,長距離伝送に向いている,安価である,データがクラッドを通る,複数の伝送モードを提供する
光ケーブルの取り扱い時の注意と関係ないものはどれか？,俺より先に寝てはいけない,折り曲げてはいけない,光ケーブルの端子部分をのぞき込んではいけない,光ケーブルの端子部分をベタベタ触ってはいけない
ベストエフォート型の正しい特徴はどれか？,品質が保証されない通信である,通信速度が保証される通信である,通信速度と品質の両方が保証される通信である,TCPで動く通信である
トランスポート層のプロトコルはどれか？,TCP,IP,OSPF,ICMP
データリンク層で通信の宛先に使う情報はどれか？,MACアドレス,IPアドレス,ポート番号,第六感!
イーサネットフレームのFCSの正しい役割はどれか？,データが壊れた際の検知,データの種類を表す,宛先の情報,ネクストホップの情報
TCP通信開始時のコネクション確立の事をなんというか？,3ウェイハンドシェイク,2ウェイハンドシェイク,PtoPハンドシェイク,ハンドシェイク
TCPを使うプロトコルはどれか？,HTTP,RTP,SNMP,DHCP
UDPの特徴ではないものはどれか？,コネクションの確立,リアルタイム通信に適している,速度重視,トランスポート層のプロトコル
192.168.22.45/29のネットワークアドレスはどれか？,192.168.22.40,192.168.22.41,192.168.22.48,192.168.22.47
116.18.211.45/17のネットワークアドレスはどれか？,116.18.128.0,116.18.255.0,116.18.0.0,116.18.192.0
116.18.211.45/17のブロードキャストアドレスはどれか？,116.18.255.255,116.18.0.255,116.18.128.255,116.18.1.255
クラスの境界を無視したサブネットマスクの表記をなんと言うか？,CIDR,COLA,BIER,SAKE
グローバルアドレスの正しい特徴はどれか？,自由に割り当てることが出来ない,インターネットで使えない,ネットワークが接続されていなければ同じアドレスが使える,グローバルアドレスなんて存在しない!
IPv4ローカルアドレスをはどれか？,172.17.31.40,171.17.31.40,172.15.31.40,172.32.31.40
IPv4グローバルアドレスをはどれか？,200.1.1.1,10.1.1.1,192.168.1.1,172.16.1.1
IPv6アドレスのビット長はいくつか？,128,64,32,16
IPv6アドレスにはないアドレス種別はどれか？,ブロードキャストアドレス,エニーキャストアドレス,マルチキャストアドレス,ユニキャストアドレス
IPv6アドレスでグループの中で最も近いデバイスと通信を行うためのアドレスはどれか？,エニーキャストアドレス,グループキャストアドレス,マルチキャストアドレス,ユニキャストアドレス
IPv6グローバルアドレスの範囲はどれか？,2000::/3,fe80::/10,ff00::/8,192.168.1.0/24
特権モードを表す記号はのどれか？,ホスト名#,ホスト名>,ホスト名(config)#,ホスト名(config-router)#
コンフィギュレーションモードに移行するコマンドはどれか？,configure terminal,enable,interface ethernet1/1,config
Cat9300にホスト名SW1を設定するコマンドはどれか？,Cat9300(config)#hostname SW1,Cat9300#hostname SW1,Cat9300(config)#host SW1,Cat9300#hostSW1
コマンドを入力途中に?キーを押すとどうなるか？,入力候補が表示される,マニュアルが表示される,対話モードに移行する,何も起きない
running-configについての説明について正しいものを選択してください,現在、動いているconfig,ルーターを起動や再起動した時に使用するconfig,ルーターを初期化した時に使用するconfig,コンフィギュレーションモードで設定したconfig
startup-configについての説明について正しいものを選択してください,ルーターを起動や再起動した時に使用するconfig,コンフィギュレーションモードで設定したconfig,現在、動いているconfig,ルーターを初期化した時に使用するconfig
SWのポートのLEDが緑点滅になっている。これはどういった状態か？,ポートで通信を行っている状態,ポートに異常が起きている状態,ポートがshutdownされている状態,対向ポートでshutdownされている状態
通信経路確認するコマンドはどれか？,traceroute,ping,tracert,trace
ネットワーク機器に遠隔から安全に接続するためのコマンドはどれか？,ssh,telnet,ping,tftp
show interface statusでDuplexがa-fullになっている時はどういった状態か？,オートネゴシエーションによりduplexが全二重になった,固定設定によりduplexが全二重になった,オートネゴシエーションによりduplexが半二重になった,固定設定によりduplexが半二重になった
IFを閉塞した際、show interface statusのStatusはどう見えるか？,disabled,connected,errdisable,notconnect
IFに管理用の説明文は付けるコマンドはどれか？ ※XXXXは説明文です。,description XXXX,manual XXXX,Connect XXXX,Coment XXXX
IFの速度を10Mbpsを設定するコマンドはどれか？,Speed 10,Speed 10Mbps,Speed 10000,speed 1000
IFの閉塞を行うコマンドはどれか？,shutdown,not connect,no shutdown,disabled
デフォルトVLANはどれか？,1,0,1000,1001
スタティックルーティングの特徴はどれか？,経路が自動集約されない,障害が発生すると自動で経路情報が更新され通信が迂回する,障害が起きても通信できる,ネットワークが大きいほど設定が楽になる
ルーティングテーブルを確認するコマンドはどれか？,show ip route,show running-config,show route,route print
ルーティングテーブル上で直接接続ルートをコードはどれか？,C,S,O,R
ディスタンスベクタ型ルーティングプロトコルはどれか？,RIP,OSPF,Static,BGP
StaicルートのAD値はどれか？,1,0,20,255
選択肢の中でOSPFのルーターIDとして選ばれるものはどれか？,router-idで指定したアドレス,起動しているLoアドレスで一番大きいアドレス,起動しているLoアドレスで一番小さいアドレス,起動しているIFに付与したアドレスで一番大きいアドレス
OSPFのAD値はどれか？,110,90,120,1
OSPFコストを決める際に使用するパラメータはどれか？,帯域幅,帯域幅とMTU,帯域幅と遅延,帯域幅とインタフェースの信頼性
OSPFのプライオリティ値を0にするとどうなるか？,DRやBDRに選定されなくなる,何も起きない,コストが0になる,DRやBDRに選定される様になる
OSPFのバックボーンエリアはどれか？,エリア0,エリア1,エリア0と隣接しているエリア,エリア1に隣接しているエリア
OSPFでDR/BDRの選出が行われないネットワークタイプはどれか？,ポイントツーポイント,ブロードキャストマルチアクセス,NBMA,必ずDR/BDRの選出は行われる
ポイントツーポイントタイプOSPFネットワークにおいてhelloタイマーのデフォルト値はいくつか？,10,30,20,40
OSPFのHelloパケットの送信先に使われるアドレスはどれか？,224.0.0.5,255.255.255.255,192.168.1.1,ルーターIDに設定されたアドレス
show ip ospf neighborのneighborIDで確認できるのはどれか？,ネイバールーターのルーターID,自身のルーターID,自身で有効になっているOSPFのネットワーク,ネイバールーターのOSPF プロセスID
syslogのレベル1に該当するのはどれか？,alerts,emergencies,critical,notifications
syslogのレベル4に該当するのはどれか？,warnings,errors,notifications,debugging
現在の時刻を表示するコマンドはどれか？,show clock,show status,show ntp ,show time
NTPクライアントとしてNTPサーバーに時刻同期するためのコマンドはどれか？,ntp server アドレス,ntp client アドレス,ntp アドレス,ntp master アドレス
NTPクライアントが優先的に時刻同期を行うNTPサーバーを設定する為につける引数はどれか？,prefer,master,speed,fast
デフォルトゲートウェイの冗長化を行うプロトコルはどれか？,VRRP,OSPF,BGP,IP
HSRPv1で使用できるグループ番号はどれか？,0～255,1～255,0～100,1～100
HSRPの仮想アドレスはどれか？,0000.0c07.acXX,0000.0c05.acXX,0000.5e00.01XX,0000.0d07.acXX
HSRPのデフォルトのハロータイマー値はいくつか？,3秒,5秒,10秒,60秒
HSRPのpriorityのデフォルト値はいくつか？,100,0,10,1
HSRPの状態を確認できるコマンドはどれか？,show standby,show interface status,show protocols,show version
標準ACLとして有効な番号はどれか？,1,100,2030,150
拡張ACLとして有効な番号はどれか？,2323,1313,1,1999
IPアドレス+ワイルドカードマスクで特定のホストをしている物はどれか？,host 192.168.1.1,192.168.1.1 255.255.255.0,192.168.1.1 0.0.0.255,0.0.0.0 0.0.0.0
IPアドレス+ワイルドカードマスクですべてのIPアドレスを指定しているのはどれか？,0.0.0.0 0.0.0.0,0.0.0.0 255.255.255.255,host 0.0.0.0,255.255.255.255 0.0.0.0
標準ACLで条件として設定出来る物はどれか？,送信元IPアドレスとワイルカードマスク,宛先IPアドレスとワイルカードマスク,送信元IPアドレス,送信元IPアドレスとサブネットマスク
ACLをインタフェースに設定するコマンドはどれか？,(config-if)# ip access-group,(config)# ip access-group,(config-if)# accsess-list,(config)# accsess-list
