シュークリームの「シュー」の意味は？,キャベツ,丸い,雲,入れ物,「シュー」はフランス語でキャベツを意味します。
一坪は畳何畳分の広さ？,2畳,1畳,3畳,4畳,一坪の広さは2畳に相当します。
日本一熱い温泉はどこにある？,長崎県,群馬県,北海道,大分県,日本一熱い温泉は長崎県の小浜温泉です。
任天堂はもともと何を作る会社だった？,花札,コマ,凧,けん玉,任天堂は1889年に花札の製造・販売を始めました。
鳥類と最も近縁な現生生物はどれ？,ワニ,コウモリ,トカゲ,ヘビ,鳥類は恐竜の仲間とされ、現生生物ではワニと最も近縁とされています。
自由の女神はどこの国で作られた？,フランス,アメリカ,イタリア,オランダ,自由の女神はフランスで彫刻家のフレデリック・オーギュスト・バルトルディによって作られました。
次のうち地方税はどれ？,住民税,所得税,法人税,地方法人税,地方税に分類されるのは住民税で、他3つは国税に分類されます。
日本の航空会社が加盟していないのはどれ？,スカイチーム,ワンワールド,スターアライアンス,全てに加入,日本にはスカイチーム所属の航空会社はありません。
日本初のスターバックスはどこの店舗？,銀座,六本木,渋谷,大手町,日本初のスタバは銀座松屋通り店で、1996年に開店しました。
Twitter(X)の代替の1つとされているSNSはどれ？,Bluesky,Forest,Bluemoon,Bigocean,Twitter(X)の代替SNSの1つとしてジャックドーシー氏によるBlueskyが有名です。
アップロードに対する感謝の意を示す言葉はどれ？,うぽつ,わこつ,ktkr,あぼーん,uploadの「up」とお疲れ様の「おつ」をつなげて「うぽつ」と言います。
色の三原色に含まれないのはどれ？,エメラルド,シアン,マゼンタ,イエロー,色の三原色はシアン・マゼンタ・イエローで、エメラルドは含みません。
日本生まれのプログラミング言語はどれ？,Ruby,Python,Perl,PHP,Rubyは日本でまつもとゆきひろ氏によって開発されたオブジェクト指向言語です。
サッカーで3回ゴールを決めることを何と言う？,ハットトリック,オウンゴール,オフサイド,スリーポイント,ハットトリックとは1人で1試合中に3得点上げることです。
イタリア語で怒りを意味するパスタは？,アラビアータ,ペペロンチーノ,カルボナーラ,ボロネーゼ,怒りを意味するパスタはアラビアータ(all’arrabiata)です。
この中でお寺なのはどれ？,川崎大師,明治神宮,神田明神,水天宮,川崎大師は正式には「金剛山 金乗院 平間寺」と呼ばれる寺院です。
アメリカのMLBにもあるチームはジャイアンツとどれ？,タイガース,ライオンズ,イーグルス,スワローズ,MLBにはデトロイト・タイガースというチームがあります。
全ての都道府県が海に面している地方はどれ？,東北地方,関東地方,関西地方,中部地方,東北地方の6県は全て海に面しています。
pH値が低いとはどういう状態？,酸性,アルカリ性,親水性,親油性,pH値が0~6だと酸性を意味し、8~14だとアルカリ性(塩基性)を意味します。
アルコールが体内で分解されると最終的に水と何になる？,二酸化炭素,酢酸,アンモニア,ブドウ糖,アルコールは体内でアセトアルデヒドに変化し、無害な物質の酢酸になった後に水と二酸化炭素に分解されます。
日本発祥じゃないのはどれ？,ローソン,ファミリーマート,サイゼリア,ドトール,ローソンはアメリカの牛乳屋が発祥です。
ポケモンの御三家タイプでないのはどれ？,雷,炎,水,草,ポケモンの御三家タイプは炎、草、水の３つで雷タイプは含まれません。
日本列島の一部が乗っているプレートはどれ？,北アメリカ,太平洋,オーストラリア,インド,東日本は北アメリカプレートの上にあります。
ロボットの語源となった言葉の意味は？,労働,機械,自律,模倣,ロボットの語源はチェコの戯曲に出てくる造語で労働を意味するrobotaです。
日本で発明された技術はどれ？,QRコード,WiFi,フロッピーディスク,印刷,QRコードは1994年に愛知県の自動車部品メーカーで生み出されました。
犬と猫の共通祖先とされる動物の名は何？,ミアキス,トマルクタス,パラミス,アヌビス,犬と猫が属する食肉目の祖先はミアキスという小型捕食動物とされています。
ピアニッシモの意味は？,非常に弱く,少し弱く,少し強く,非常に強く,ピアニッシモは「非常に弱く」を意味する強弱記号です。
弦の交換が不要なギターはどれ？,エアギター,アコースティックギター,エレキギター,ベースギター,エアギターには実体が無いので弦の交換は不要です。
日本最北端の市である稚内の語源はアイヌ語でどういう意味？,冷たい川,流氷,北の果て,トドが住む場所,稚内は「ヤム・ワッカ・ナイ」が語源で、「冷たい・飲み水・川」という意味です。
次のうちブラウザはどれ？,Safari,AirDrop,Finder,iTunes,Safariとはiosにデフォルトで入っているブラウザアプリのことです。
