モバイルインターネット接続を行うには、モバイル端末はモバイルネットワークを用いて【A】にあるアクセスポイントへ接続する。この【A】からインターネットへ接続するサービスを通信事業者が提供している。,事業者網,LTE,RAN,ゲートウェイ,,
ワイヤレスデータ通信の主要な方式であるパケット通信において、モバイル接続機器を経由してPC等をISP事業者のネットワークと接続するインタフェースには【A】が用いられている。,TCP/IP,HTML,ADSL,IEEE802.11,,
一般的に、モバイル端末がエリア内にあって通信が可能な待ち受け状態、あるいは、通信接続中状態にあるときは、 【A】や受信電力対干渉電力比などに対応して増減するバーの数等 で 【B】 がユーザに表示されるようになっている。,【A】受信電波の強度【B】電波の強さの目安,【A】送信局までの距離【B】伝送速度の目安,【A】送信電力【B】受信品質,【A】伝送速度【B】電池の残量,,
コンピュータが送出する IP パケットの、あて先 IP アドレスが同一ネットワークアドレスにある場合、直接コンピュータに IP パケットを送出する。これを直接【A】と呼ぶ。一方、異なるネットワークアドレスの場合は、そのコンピュータが 接続されているネットワークの 【B】 (デフォルトゲートウェイ)に IP パケットを送る。【B】 は宛て先アドレスを読み取り、【B】に直接接続されている別サブネットの中を探し、見つかれば IP パケットを送出する。もし見つからない場合は、宛て先のコンピュータに近い【B】に IP パケットを送出する。これを繰り返すことで、IP パケットが宛て先に届く。これを 【A】 呼ぶ。,【A】DNS【B】ハブ（スイッチングハブ),【A】ルーティング【B】ハブ（スイッチングハブ),【A】DNS【B】ルーター,【A】ルーティング【B】ルーター,,
この図は LTE のコアネットワークの構成である。EPC は、【A】、【B】、【C】、【D】、HSS により構成される。EPC はコアネットワーク内でのデータ転送、IP アドレスの割当て、移動機の移動に応じた経路切り替えを実行する。 【A】は、移動機との制御信号のやりとりにより、移動管理や eNB、【C】への通信経路の設定を行う。【B】は、通信のポリシーや課金制御などを実行する。【C】は、【A】からの指示により、eNB、【D】との通信経路を設定する。通信中の移動機の移動に伴い、通信経路を切り替る。【D】は、インターネットなどの外部ネットワークとの接続点の役割を担い、移動機と外部ネットワーク間でデータを転送する。,【A】MME　【B】PCRF　【C】S-GW　【D】P-GW,【A】PCRF　【B】MME　【C】P-GW　【D】S-GW,【A】PCRF　【B】MME　【C】S-GW　【D】P-GW,【A】MME　【B】PCRF　【C】P-GW　【D】S-GW,,mcpc_rank2_sample_5.jpg
モバイル端末の省電力化技術に関して不適切な記述を、A～Dの選択肢の中から一つ選びなさい。,CPU はできるだけ高い周波数で動作させる。,ハードディスクの回転を止める。,ディスプレイを閉じたときは、カラーモードを解消してモノクロモードとする。,液晶ディスプレイのバックライトの輝度を下げるか、一定時間後に完全に消灯する。,,
適切な記述を1つ選べ,Java VM によりプロセッサと OS の仮想化を行う事で、Java アプリケーションは、異なるプロセッサ、異なる OS の上でも動作可能である。,Java アプリケーションは、異なるプロセッサ、異なる OS の上で Java VM がなくても動作可能である。,Java アプリケーションの実行環境を実現する Java VM は、異なるプロセッサ、異なる OS に関係なく共通のソフトウェアを利用することが可能である。,Java 言語で複数の OS 上で実行できるアプリケーションを作成するには、各々の OS に対応したソースを記述することで実現できる。,,mcpc_rank2_sample_7.jpg
情報セキュリティを実現する暗号化の方式において、【A】 は、送信側と受信側で同じアルゴリズムと鍵を使用して、暗号化と復号を行う。,共通鍵暗号方式,ハイブリッド方式,公開鍵暗号方式,電子署名方式,,
XR に関して不適切な記述を、A～Dの選択肢の中から一つ選びなさい。,AR では、VR で作り出された仮想現実物体と、現実世界をベースにしているMR の拡張現実空間の双方が混ざった空間を作り出す。, VR は、建設現場の重機操作の事前トレーニング、危険な場所での作業事前体験、災害時の避難トレーニングなどの事例で取り組まれいる, AR の技術を用いると、インテリアや家具を購入する前に、自分の部屋の目的の場所へ仮想的に重ねて表示を行い、空間との相性を事前に確認できるようになる。,VR の技術を用いると、ヘッドマウントディスプレイ（HMD）に仮想空間の映像を映し出す事で、新たに作り出した仮想空間の中に自身がいるような体験ができる。,,
モバイルコンピューティングの普及を推進するために、日本で1997年に設立された組織はなんという？,MCPC,イー・モバイル,3GPP,日本電信電話公社,,
