人工知能の定義において、京都大学名誉教授長尾真は人工知能を「人間の頭脳活動を極限までシミュレートする（）」と定義しています。,システム,ネットワーク,プログラム,データセット,長尾真によると、人工知能は人間の思考を極めて忠実に模倣するシステムとして捉えられています。
人工知能の大まかな分類において、レベル3は機械学習を取り入れた人口知能であり、非常に多くのサンプルデータをもとに入力出力の関係を（）します。,学習,予測,分析,解析,レベル3の人工知能は機械学習を利用し、大量のデータから入力と出力の関係を学習します。
レベル2の人工知能は、探索・推論・知識データを利用することで、状況に応じて（）な振る舞いをします。,複雑,単純,速い,進化,レベル2の人工知能は、複雑な状況に対応するために探索や推論を行い、知識データを利用して柔軟に振る舞います。
人工知能の具体例として、レベル4に該当するものは以下のうちどれでしょうか？,画像認識,エアコン,検索エンジン,音声認識,画像認識はディープラーニングを取り入れた人工知能の一例であり、特徴量を自動的に学習します。
「エージェントアプローチ人工知能」では、人工知能を周囲の状況（入力）に応じて行動（出力）を変える（）と捉えています。,エージェント,データセット,モデル,プログラム,エージェントは周囲の状況に反応し、柔軟に行動するプログラムを指します。
人工知能の定義において、東京大学准教授松尾豊は人工知能を「人工的につくられた人間のような知能、ないしはそれをつくる技術」と（）しています。,定義,論じる,設定する,考察する,松尾豊によると、人工知能は人間のような知能を作り出す技術として捉えられています。
レベル1の人工知能に該当するものは、以下のうちどれでしょうか？,エアコン,掃除ロボット,検索エンジン,自動車,レベル1の人工知能は事前に振る舞いが定められたものであり、エアコンがその一例です。
人工知能の大まかな分類において、レベル4は特徴量と呼ばれる変数を自動的に（）する製品です。,学習,生成,解析,適用,レベル4の人工知能はディープラーニングを用いて特徴量を学習し、自動的に調整します。
書籍『エージェントアプローチ人工知能』では、エージェントを周囲の状況（入力）に応じて行動（出力）を変える（）と捉えています。,エージェント,デバイス,プログラム,システム,書籍ではエージェントが状況に応じて柔軟に行動するプログラムとされています。
人工知能の具体例として、レベル3に該当するものは以下のうちどれでしょうか？,音声認識,洗濯機,診断プログラム,自動車,レベル3の人工知能は機械学習を利用し、音声認識などの入力と出力の関係を学習します。
