インターネットの通信プロトコルで、ファイルを転送するために使用される主要なプロトコルは（　）である。,FTP,SMTP,HTTP,DNS,FTP（File Transfer Protocol）はファイルの転送に使用され、ネットワーク上でのファイル共有に不可欠なプロトコルです。
インターネットの通信プロトコルで、ウェブページを閲覧するために使用される主要なプロトコルは（　）である。,HTTP,FTP,SMTP,DNS,HTTP（Hypertext Transfer Protocol）はウェブページの閲覧に使用され、クライアントとサーバの間でテキスト、画像、音声などのリソースをやり取りします。
インターネットの通信プロトコルで、電子メールを送受信するために使用される主要なプロトコルは（　）である。,SMTP,FTP,HTTP,DNS,SMTP（Simple Mail Transfer Protocol）は電子メールの送受信に使用され、メールのやり取りに不可欠なプロトコルです。
インターネットの通信プロトコルで、ウェブページのセキュアな通信を提供するために使用されるのは（　）である。,HTTPS,FTP,TCP,IP,HTTPS（Hypertext Transfer Protocol Secure）は通信を暗号化し、セキュアなデータ通信を実現します。
インターネットの通信プロトコルで、ネットワーク上のコンピュータのアドレスを解決するために使用される主要なプロトコルは（　）である。,DNS,FTP,HTTP,SMTP,DNS（Domain Name System）はドメイン名とIPアドレスを対応付け、ネットワーク上でのコンピュータの特定を可能にします。
LANは（　）の範囲内でのネットワーク通信を指します。,ローカル,全世界規模,都市間,国内,LAN（Local Area Network）は地理的に限られた範囲内でのネットワーク通信を指します。
LANの主な目的は（　）を促進することです。,コンピュータ間の通信,情報共有,国際的な通信,無線通信,LANの主な目的は地理的に近いコンピュータ間での効率的な通信と情報共有を促進することです。
LANで最も一般的なトポロジは（　）です。,スター,リング,バス,メッシュ,スター型トポロジはLANで最も一般的であり、中央のハブまたはスイッチに各デバイスが接続されます。
LANで使用される通信プロトコルで、データリンク層で使用されるものは（　）である。,Ethernet,IP,TCP,HTTP,EthernetはLANで使用される通信プロトコルで、データリンク層で動作します。
LANでのネットワークセキュリティを強化するために使用される技術の一例は（　）である。,VPN,ファイアウォール,SSL,メールフィルタリング,VPN（Virtual Private Network）はLANでのネットワークセキュリティを強化するために使用される技術の一例です。
サーバーは一般的に（　）の役割を果たします。,サービス提供,データ保存,通信暗号化,物理的な接続,サーバーは一般的にサービス提供の役割を果たします。
Webサーバーに最も適したプロトコルは（　）です。,HTTP,FTP,SMTP,SSH,Webサーバーに最も適したプロトコルはHTTPです。
